Date,Open,High,Low,Close*,Adj Close**,Volume,ATR_14,EMA_10,RSI_14
2022-10-14,30192.21,30428.82,29614.3,29634.83,29634.83,379090000,698.5685714285721,30832.93180794308,23.51777329149455
2022-10-13,28755.83,30168.54,28660.94,30038.72,30038.72,470260000,729.7771428571438,30688.52966104434,27.683627775473454
2022-10-12,29233.06,29455.12,29136.03,29210.85,29210.85,304420000,735.1321428571435,30419.86063176355,15.902134614432171
2022-10-11,29085.2,29608.42,29074.23,29239.19,29239.19,352920000,752.0792857142862,30205.193244170172,15.036806942682048
2022-10-10,29419.09,29485.82,29010.41,29202.88,29202.88,315410000,733.7921428571436,30022.954472502868,12.693013581304271
2022-10-07,29685.27,29685.27,29142.66,29296.79,29296.79,367950000,710.5078571428577,29890.924568411436,17.181994584079874
2022-10-06,30206.13,30329.61,29859.34,29926.94,29926.94,306840000,753.2821428571434,29897.472828700265,29.238877175001093
2022-10-05,30078.36,30454.46,29886.44,30273.87,30273.87,290610000,761.5250000000004,29965.90867802749,34.212573211064
2022-10-04,29826.67,30325.05,29826.67,30316.32,30316.32,375640000,748.8857142857147,30029.619827477036,37.290174562733874
2022-10-03,28855.25,29647.79,28855.25,29490.89,29490.89,397830000,760.8664285714289,29931.668949753937,34.28268979723228
2022-09-30,29123.03,29355.78,28715.85,28725.51,28725.51,464260000,757.8435714285717,29712.367322525948,34.171942423383385
2022-09-29,29513.73,29513.73,28997.34,29225.61,29225.61,388820000,783.0585714285719,29623.865991157592,39.08687510474121
2022-09-28,29198.92,29811.78,29114.97,29683.74,29683.74,436040000,794.5400000000003,29634.752174583482,42.81737250891781
2022-09-27,29419.88,29659.12,28958.22,29134.99,29134.99,355460000,808.7785714285718,29543.886324659212,41.327824937320834
2022-09-26,29536.84,29630.77,29161.12,29260.81,29260.81,369450000,786.0114285714288,29492.4179019939,46.68037050054496
2022-09-23,29955.65,29955.65,29250.47,29590.41,29590.41,388200000,728.6957142857144,29510.23464708592,45.96783332763703
2022-09-22,30204.52,30302.28,29994.53,30076.68,30076.68,335270000,715.0657142857142,29613.224711252115,58.29725331907384
2022-09-21,30819.39,31020.79,30181.99,30183.78,30183.78,354960000,744.3457142857143,29716.962036479,58.9174012948589
2022-09-20,30888.53,30888.53,30465.91,30706.23,30706.23,317970000,760.7271428571429,29896.82893893736,62.999202762833164
2022-09-19,30722.86,31026.89,30559.37,31019.68,31019.68,291200000,755.3635714285714,30100.983677312382,64.35260854280482
